Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM,norm,_merge
Ty Jerome,MEM,28,G-F,5.17287,-0.120549,5.0523,ty jerome,left_only
Franz Wagner,ORL,24,F,1.86643,1.87549,3.7419,franz wagner,left_only
Paul Reed,DET,26,F,1.56443,1.90927,3.4737,paul reed,left_only
Dyson Daniels,ATL,23,G,0.866059,2.59648,3.4625,dyson daniels,left_only
Ausar Thompson,DET,23,G-F,-0.49931,3.6449,3.1456,ausar thompson,left_only
Isaiah Hartenstein,OKC,28,C-F,1.10541,2.01305,3.1185,isaiah hartenstein,left_only
Ajay Mitchell,OKC,23,G,1.07099,2.02456,3.0955,ajay mitchell,left_only
Neemias Queta,BOS,26,C,1.08117,1.95386,3.035,neemias queta,left_only
Amen Thompson,HOU,23,G-F,1.38704,1.60718,2.9942,amen thompson,left_only
Derrick White,BOS,31,G,0.779366,2.0854,2.8648,derrick white,left_only
